,LOC,MEAS,EQPT,TEST_FLOW,IND_STEP,DPN,CAP,HEADS,DISCS,2025_FW1,2025_FW2,2025_FW3,2025_FW4,2025_FW5,2025_FW6,2025_FW7,2025_FW8,2025_FW9,2025_FW10,2025_FW11,2025_FW12,2025_FW13
0,WUX,TT,GEMINI_SP,GG,PRE2,AVENGERSATA,1000,5,3,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
1,WUX,TT,GEMINI_SP,GG,CAL2,AVENGERSATA,1000,5,3,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
2,WUX,TT,GEMINI_SP,GG,FNC2,AVENGERSATA,1000,5,3,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
3,WUX,TT,GEMINI_IO,GG,CRT2,AVENGERSATA,1000,5,3,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8
4,WUX,TT,GEMINI_IO,GG,FIN2,AVENGERSATA,1000,5,3,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5
5,WUX,TT,GEMINI_IO,GG,AUD2,AVENGERSATA,1000,5,3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
6,WUX,TT,GEMINI_SP,GG,PRE2,AVENGERSATA,2000,10,5,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8
7,WUX,TT,GEMINI_SP,GG,CAL2,AVENGERSATA,2000,10,5,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
8,WUX,TT,GEMINI_SP,GG,FNC2,AVENGERSATA,2000,10,5,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
9,WUX,TT,GEMINI_IO,GG,CRT2,AVENGERSATA,2000,10,5,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
10,WUX,TT,GEMINI_IO,GG,FIN2,AVENGERSATA,2000,10,5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
11,WUX,TT,GEMINI_IO,GG,AUD2,AVENGERSATA,2000,10,5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
12,WUX,YD,GEMINI_SP,GG,PRE2,AVENGERSATA,1000,5,3,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
13,WUX,YD,GEMINI_SP,GG,CAL2,AVENGERSATA,1000,5,3,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
14,WUX,YD,GEMINI_SP,GG,FNC2,AVENGERSATA,1000,5,3,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
15,WUX,YD,GEMINI_IO,GG,CRT2,AVENGERSATA,1000,5,3,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
16,WUX,YD,GEMINI_IO,GG,FIN2,AVENGERSATA,1000,5,3,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983
17,WUX,YD,GEMINI_SP,GG,PRE2,AVENGERSATA,2000,10,5,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963
18,WUX,YD,GEMINI_SP,GG,CAL2,AVENGERSATA,2000,10,5,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
19,WUX,YD,GEMINI_SP,GG,FNC2,AVENGERSATA,2000,10,5,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
20,WUX,YD,GEMINI_IO,GG,CRT2,AVENGERSATA,2000,10,5,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992
21,WUX,YD,GEMINI_IO,GG,FIN2,AVENGERSATA,2000,10,5,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981
22,WUX,TT,GEMINI_SP,GG,SCOPY,CIMARRONBPSAS,1000,2,2,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
23,WUX,TT,GEMINI_SP,GG,PRE2,CIMARRONBPSAS,1000,2,2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
24,WUX,TT,GEMINI_SP,GG,CAL2,CIMARRONBPSAS,1000,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
25,WUX,TT,GEMINI_SP,GG,FNC2,CIMARRONBPSAS,1000,2,2,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
26,WUX,TT,GEMINI_SP,GG,SPSC2,CIMARRONBPSAS,1000,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
27,WUX,TT,SPIO,GG,CRT2,CIMARRONBPSAS,1000,2,2,7.496,11.731,12.0,6.9944,6.8229,8.0076,8.908,8.1767,8.5827,7.9793,9.3077,5.3931,6.4957
